Attaching to keycloak-ciba
keycloak-ciba  | Updating the configuration and installing your custom providers, if any. Please wait.
keycloak-ciba  | 2025-06-19 17:32:20,378 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource PersistedConfigSource with ordinal 200
keycloak-ciba  | 2025-06-19 17:32:20,378 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource PropertiesConfigSource[source=jar:file:///opt/keycloak/lib/lib/main/org.keycloak.keycloak-quarkus-server-24.0.3.jar!/META-INF/keycloak.conf] with ordinal 150
keycloak-ciba  | 2025-06-19 17:32:20,378 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource DefaultValuesConfigSource with ordinal -2147483648
keycloak-ciba  | 2025-06-19 17:32:20,415 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource BuildTime RunTime Fixed with ordinal 2147483647
keycloak-ciba  | 2025-06-19 17:32:20,415 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource PropertiesConfigSource[source=CliConfigSource] with ordinal 600
keycloak-ciba  | 2025-06-19 17:32:20,416 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource KcEnvVarConfigSource with ordinal 500
keycloak-ciba  | 2025-06-19 17:32:20,416 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource QuarkusProperties with ordinal 450
keycloak-ciba  | 2025-06-19 17:32:20,416 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource PropertiesConfigSource[source=file:/opt/keycloak/bin/../conf/keycloak.conf] with ordinal 450
keycloak-ciba  | 2025-06-19 17:32:20,416 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource SysPropConfigSource with ordinal 400
keycloak-ciba  | 2025-06-19 17:32:20,416 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource EnvConfigSource with ordinal 300
keycloak-ciba  | 2025-06-19 17:32:20,416 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource PropertiesConfigSource[source=jar:file:///opt/keycloak/lib/app/keycloak.jar!/application.properties] with ordinal 250
keycloak-ciba  | 2025-06-19 17:32:20,416 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource PropertiesConfigSource[source=jar:file:///opt/keycloak/lib/lib/main/org.keycloak.keycloak-quarkus-server-24.0.3.jar!/application.properties] with ordinal 250
keycloak-ciba  | 2025-06-19 17:32:20,416 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource PersistedConfigSource with ordinal 200
keycloak-ciba  | 2025-06-19 17:32:20,416 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource PropertiesConfigSource[source=jar:file:///opt/keycloak/lib/lib/main/org.keycloak.keycloak-quarkus-server-24.0.3.jar!/META-INF/keycloak.conf] with ordinal 150
keycloak-ciba  | 2025-06-19 17:32:20,416 DEBUG [io.smallrye.config._private] (main) SRCFG01006: Loaded ConfigSource DefaultValuesConfigSource with ordinal -2147483648
keycloak-ciba  | 2025-06-19 17:32:20,535 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withRSA, Serial:3c9eb1fc89f733d3, Subject:CN=JCE Code Signing CA, OU=Java Software Code Signing, O=Oracle Corporation, Issuer:CN=JCE Code Signing CA, OU=Java Software Code Signing, O=Oracle Corporation, Key type:RSA, Length:2048, Cert Id:-1250580323, Valid from:7/6/16, 11:48 PM, Valid until:12/31/30, 12:00 AM
keycloak-ciba  | 2025-06-19 17:32:20,536 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withRSA, Serial:8874f23f4bbf63bd806a7aeb0a12cf4672bba2a, Subject:CN=Legion of the Bouncy Castle Inc., OU=Java Software Code Signing, O=Oracle Corporation, Issuer:CN=JCE Code Signing CA, OU=Java Software Code Signing, O=Oracle Corporation, Key type:DSA, Length:2048, Cert Id:-2028555555, Valid from:1/25/22, 12:58 AM, Valid until:1/25/27, 12:58 AM
keycloak-ciba  | 2025-06-19 17:32:20,548 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withRSA, Serial:544aff3949d0839a6bfdb3f5fe56116, Subject:CN=DigiCert Timestamp 2023, O="DigiCert, Inc.", C=US, Issuer:CN=DigiCert Trusted G4 RSA4096 SHA256 TimeStamping CA, O="DigiCert, Inc.", C=US, Key type:RSA, Length:4096, Cert Id:85613909, Valid from:7/14/23, 12:00 AM, Valid until:10/13/34, 11:59 PM
keycloak-ciba  | 2025-06-19 17:32:20,548 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withRSA, Serial:73637b724547cd847acfd28662a5e5b, Subject:CN=DigiCert Trusted G4 RSA4096 SHA256 TimeStamping CA, O="DigiCert, Inc.", C=US, Issuer:CN=DigiCert Trusted Root G4, OU=www.digicert.com, O=DigiCert Inc, C=US, Key type:RSA, Length:4096, Cert Id:-1087426625, Valid from:3/23/22, 12:00 AM, Valid until:3/22/37, 11:59 PM
keycloak-ciba  | 2025-06-19 17:32:20,549 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA384withRSA, Serial:e9b188ef9d02de7efdb50e20840185a, Subject:CN=DigiCert Trusted Root G4, OU=www.digicert.com, O=DigiCert Inc, C=US, Issuer:CN=DigiCert Assured ID Root CA, OU=www.digicert.com, O=DigiCert Inc, C=US, Key type:RSA, Length:4096, Cert Id:845088433, Valid from:8/1/22, 12:00 AM, Valid until:11/9/31, 11:59 PM
keycloak-ciba  | 2025-06-19 17:32:20,677 DEBUG [org.keycloak.crypto.def.DefaultCryptoProvider] (main) Loaded org.bouncycastle.jce.provider.BouncyCastleProvider security provider
keycloak-ciba  | 2025-06-19 17:32:20,677 DEBUG [org.keycloak.common.crypto.CryptoIntegration] (main) Using the crypto provider: org.keycloak.crypto.def.DefaultCryptoProvider
keycloak-ciba  | 2025-06-19 17:32:20,713 DEBUG [org.infinispan.commons.util.ServiceFinder] (keycloak-cache-init) Loading service impl: org.infinispan.persistence.remote.configuration.RemoteStoreConfigurationParser
keycloak-ciba  | 2025-06-19 17:32:20,718 DEBUG [org.infinispan.commons.util.ServiceFinder] (keycloak-cache-init) Loading service impl: org.infinispan.configuration.parsing.CacheParser
keycloak-ciba  | 2025-06-19 17:32:20,721 DEBUG [org.infinispan.commons.util.ServiceFinder] (keycloak-cache-init) Loading service impl: org.infinispan.configuration.parsing.Parser
keycloak-ciba  | 2025-06-19 17:32:20,721 DEBUG [org.infinispan.commons.util.ServiceFinder] (keycloak-cache-init) Ignoring already loaded service: org.infinispan.persistence.remote.configuration.RemoteStoreConfigurationParser
keycloak-ciba  | 2025-06-19 17:32:20,722 DEBUG [org.infinispan.commons.util.ServiceFinder] (keycloak-cache-init) Ignoring already loaded service: org.infinispan.configuration.parsing.CacheParser
keycloak-ciba  | 2025-06-19 17:32:20,722 DEBUG [org.infinispan.commons.util.ServiceFinder] (keycloak-cache-init) Ignoring already loaded service: org.infinispan.configuration.parsing.Parser
keycloak-ciba  | 2025-06-19 17:32:20,942 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA1withRSA, Serial:5ec3b7a6437fa4e0, Subject:C=ES, O=ACCV, OU=PKIACCV, CN=ACCVRAIZ1, Issuer:C=ES, O=ACCV, OU=PKIACCV, CN=ACCVRAIZ1, Key type:RSA, Length:4096, Cert Id:-592111236, Valid from:5/5/11, 9:37 AM, Valid until:12/31/30, 9:37 AM
keycloak-ciba  | 2025-06-19 17:32:20,943 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withRSA, Serial:5d938d306736c8061d1ac754846907, Subject:OU=AC RAIZ FNMT-RCM, O=FNMT-RCM, C=ES, Issuer:OU=AC RAIZ FNMT-RCM, O=FNMT-RCM, C=ES, Key type:RSA, Length:4096, Cert Id:1555523573, Valid from:10/29/08, 3:59 PM, Valid until:1/1/30, 12:00 AM
keycloak-ciba  | 2025-06-19 17:32:20,945 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA384withECDSA, Serial:62f6326ce5c4e3685c1b62dd9c2e9d95, Subject:CN=AC RAIZ FNMT-RCM SERVIDORES SEGUROS, OID.2.5.4.97=VATES-Q2826004J, OU=Ceres, O=FNMT-RCM, C=ES, Issuer:CN=AC RAIZ FNMT-RCM SERVIDORES SEGUROS, OID.2.5.4.97=VATES-Q2826004J, OU=Ceres, O=FNMT-RCM, C=ES, Key type:EC, Length:384, Cert Id:246315697, Valid from:12/20/18, 9:37 AM, Valid until:12/20/43, 9:37 AM
keycloak-ciba  | 2025-06-19 17:32:20,946 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withRSA, Serial:dd3e3bc6cf96bb1, Subject:CN=ANF Secure Server Root CA, OU=ANF CA Raiz, O=ANF Autoridad de Certificacion, C=ES, SERIALNUMBER=G63287510, Issuer:CN=ANF Secure Server Root CA, OU=ANF CA Raiz, O=ANF Autoridad de Certificacion, C=ES, SERIALNUMBER=G63287510, Key type:RSA, Length:4096, Cert Id:-841649695, Valid from:9/4/19, 10:00 AM, Valid until:8/30/39, 10:00 AM
keycloak-ciba  | 2025-06-19 17:32:20,946 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withRSA, Serial:570a119742c4e3cc, Subject:CN=Actalis Authentication Root CA, O=Actalis S.p.A./03358520967, L=Milan, C=IT, Issuer:CN=Actalis Authentication Root CA, O=Actalis S.p.A./03358520967, L=Milan, C=IT, Key type:RSA, Length:4096, Cert Id:1729119956, Valid from:9/22/11, 11:22 AM, Valid until:9/22/30, 11:22 AM
keycloak-ciba  | 2025-06-19 17:32:20,947 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withRSA, Serial:7777062726a9b17c, Subject:CN=AffirmTrust Commercial, O=AffirmTrust, C=US, Issuer:CN=AffirmTrust Commercial, O=AffirmTrust, C=US, Key type:RSA, Length:2048, Cert Id:630485644, Valid from:1/29/10, 2:06 PM, Valid until:12/31/30, 2:06 PM
keycloak-ciba  | 2025-06-19 17:32:20,947 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA1withRSA, Serial:7c4f04391cd4992d, Subject:CN=AffirmTrust Networking, O=AffirmTrust, C=US, Issuer:CN=AffirmTrust Networking, O=AffirmTrust, C=US, Key type:RSA, Length:2048, Cert Id:651670175, Valid from:1/29/10, 2:08 PM, Valid until:12/31/30, 2:08 PM
keycloak-ciba  | 2025-06-19 17:32:20,948 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA384withRSA, Serial:6d8c1446b1a60aee, Subject:CN=AffirmTrust Premium, O=AffirmTrust, C=US, Issuer:CN=AffirmTrust Premium, O=AffirmTrust, C=US, Key type:RSA, Length:4096, Cert Id:-2130283955, Valid from:1/29/10, 2:10 PM, Valid until:12/31/40, 2:10 PM
keycloak-ciba  | 2025-06-19 17:32:20,948 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA384withECDSA, Serial:7497258ac73f7a54, Subject:CN=AffirmTrust Premium ECC, O=AffirmTrust, C=US, Issuer:CN=AffirmTrust Premium ECC, O=AffirmTrust, C=US, Key type:EC, Length:384, Cert Id:-2080363786, Valid from:1/29/10, 2:20 PM, Valid until:12/31/40, 2:20 PM
keycloak-ciba  | 2025-06-19 17:32:20,948 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withRSA, Serial:66c9fcf99bf8c0a39e2f0788a43e696365bca, Subject:CN=Amazon Root CA 1, O=Amazon, C=US, Issuer:CN=Amazon Root CA 1, O=Amazon, C=US, Key type:RSA, Length:2048, Cert Id:-1472444962, Valid from:5/26/15, 12:00 AM, Valid until:1/17/38, 12:00 AM
keycloak-ciba  | 2025-06-19 17:32:20,950 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA384withRSA, Serial:66c9fd29635869f0a0fe58678f85b26bb8a37, Subject:CN=Amazon Root CA 2, O=Amazon, C=US, Issuer:CN=Amazon Root CA 2, O=Amazon, C=US, Key type:RSA, Length:4096, Cert Id:-1766132388, Valid from:5/26/15, 12:00 AM, Valid until:5/26/40, 12:00 AM
keycloak-ciba  | 2025-06-19 17:32:20,951 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withECDSA, Serial:66c9fd5749736663f3b0b9ad9e89e7603f24a, Subject:CN=Amazon Root CA 3, O=Amazon, C=US, Issuer:CN=Amazon Root CA 3, O=Amazon, C=US, Key type:EC, Length:256, Cert Id:-1562287523, Valid from:5/26/15, 12:00 AM, Valid until:5/26/40, 12:00 AM
keycloak-ciba  | 2025-06-19 17:32:20,951 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA384withECDSA, Serial:66c9fd7c1bb104c2943e5717b7b2cc81ac10e, Subject:CN=Amazon Root CA 4, O=Amazon, C=US, Issuer:CN=Amazon Root CA 4, O=Amazon, C=US, Key type:EC, Length:384, Cert Id:-1654272513, Valid from:5/26/15, 12:00 AM, Valid until:5/26/40, 12:00 AM
keycloak-ciba  | 2025-06-19 17:32:20,952 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withRSA, Serial:5c33cb622c5fb332, Subject:C=DE, O=Atos, CN=Atos TrustedRoot 2011, Issuer:C=DE, O=Atos, CN=Atos TrustedRoot 2011, Key type:RSA, Length:2048, Cert Id:-28528624, Valid from:7/7/11, 2:58 PM, Valid until:12/31/30, 11:59 PM
keycloak-ciba  | 2025-06-19 17:32:20,953 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA1withRSA, Serial:53ec3beefbb2485f, Subject:CN=Autoridad de Certificacion Firmaprofesional CIF A62634068, C=ES, Issuer:CN=Autoridad de Certificacion Firmaprofesional CIF A62634068, C=ES, Key type:RSA, Length:4096, Cert Id:692250759, Valid from:5/20/09, 8:38 AM, Valid until:12/31/30, 8:38 AM
keycloak-ciba  | 2025-06-19 17:32:20,954 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withRSA, Serial:1b70e9d2ffae6c71, Subject:CN=Autoridad de Certificacion Firmaprofesional CIF A62634068, C=ES, Issuer:CN=Autoridad de Certificacion Firmaprofesional CIF A62634068, C=ES, Key type:RSA, Length:4096, Cert Id:-1766730314, Valid from:9/23/14, 3:22 PM, Valid until:5/5/36, 3:22 PM
keycloak-ciba  | 2025-06-19 17:32:20,955 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withRSA, Serial:556f65e3b4d9906a1b09d16c3ec06c20, Subject:CN=BJCA Global Root CA1, O=BEIJING CERTIFICATE AUTHORITY, C=CN, Issuer:CN=BJCA Global Root CA1, O=BEIJING CERTIFICATE AUTHORITY, C=CN, Key type:RSA, Length:4096, Cert Id:-1889263367, Valid from:12/19/19, 3:16 AM, Valid until:12/12/44, 3:16 AM
keycloak-ciba  | 2025-06-19 17:32:20,955 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA384withECDSA, Serial:2c17087d642ac0fe85185906cfb44aeb, Subject:CN=BJCA Global Root CA2, O=BEIJING CERTIFICATE AUTHORITY, C=CN, Issuer:CN=BJCA Global Root CA2, O=BEIJING CERTIFICATE AUTHORITY, C=CN, Key type:EC, Length:384, Cert Id:1781225575, Valid from:12/19/19, 3:18 AM, Valid until:12/12/44, 3:18 AM
keycloak-ciba  | 2025-06-19 17:32:20,956 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA1withRSA, Serial:20000b9, Subject:CN=Baltimore CyberTrust Root, OU=CyberTrust, O=Baltimore, C=IE, Issuer:CN=Baltimore CyberTrust Root, OU=CyberTrust, O=Baltimore, C=IE, Key type:RSA, Length:2048, Cert Id:1425294543, Valid from:5/12/00, 6:46 PM, Valid until:5/12/25, 11:59 PM
keycloak-ciba  | 2025-06-19 17:32:20,956 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withRSA, Serial:2, Subject:CN=Buypass Class 2 Root CA, O=Buypass AS-983163327, C=NO, Issuer:CN=Buypass Class 2 Root CA, O=Buypass AS-983163327, C=NO, Key type:RSA, Length:4096, Cert Id:969960563, Valid from:10/26/10, 8:38 AM, Valid until:10/26/40, 8:38 AM
keycloak-ciba  | 2025-06-19 17:32:20,957 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withRSA, Serial:2, Subject:CN=Buypass Class 3 Root CA, O=Buypass AS-983163327, C=NO, Issuer:CN=Buypass Class 3 Root CA, O=Buypass AS-983163327, C=NO, Key type:RSA, Length:4096, Cert Id:1264269967, Valid from:10/26/10, 8:28 AM, Valid until:10/26/40, 8:28 AM
keycloak-ciba  | 2025-06-19 17:32:20,957 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withRSA, Serial:92b888dbb08ac163, Subject:CN=CA Disig Root R2, O=Disig a.s., L=Bratislava, C=SK, Issuer:CN=CA Disig Root R2, O=Disig a.s., L=Bratislava, C=SK, Key type:RSA, Length:4096, Cert Id:747175721, Valid from:7/19/12, 9:15 AM, Valid until:7/19/42, 9:15 AM
keycloak-ciba  | 2025-06-19 17:32:20,958 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withRSA, Serial:184accd6, Subject:CN=CFCA EV ROOT, O=China Financial Certification Authority, C=CN, Issuer:CN=CFCA EV ROOT, O=China Financial Certification Authority, C=CN, Key type:RSA, Length:4096, Cert Id:551407782, Valid from:8/8/12, 3:07 AM, Valid until:12/31/29, 3:07 AM
keycloak-ciba  | 2025-06-19 17:32:20,958 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA1withRSA, Serial:4e812d8a8265e00b02ee3e350246e53d, Subject:CN=COMODO Certification Authority, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB, Issuer:CN=COMODO Certification Authority, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB, Key type:RSA, Length:2048, Cert Id:904304908, Valid from:12/1/06, 12:00 AM, Valid until:12/31/29, 11:59 PM
keycloak-ciba  | 2025-06-19 17:32:20,959 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA384withECDSA, Serial:1f47afaa62007050544c019e9b63992a, Subject:CN=COMODO ECC Certification Authority, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB, Issuer:CN=COMODO ECC Certification Authority, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB, Key type:EC, Length:384, Cert Id:1146488932, Valid from:3/6/08, 12:00 AM, Valid until:1/18/38, 11:59 PM
keycloak-ciba  | 2025-06-19 17:32:20,959 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA384withRSA, Serial:4caaf9cadb636fe01ff74ed85b03869d, Subject:CN=COMODO RSA Certification Authority, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB, Issuer:CN=COMODO RSA Certification Authority, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB, Key type:RSA, Length:4096, Cert Id:1769425049, Valid from:1/19/10, 12:00 AM, Valid until:1/18/38, 11:59 PM
keycloak-ciba  | 2025-06-19 17:32:20,960 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA384withECDSA, Serial:62533b1470333275cf98d9ab9bfccf8, Subject:CN=Certainly Root E1, O=Certainly, C=US, Issuer:CN=Certainly Root E1, O=Certainly, C=US, Key type:EC, Length:384, Cert Id:792571453, Valid from:4/1/21, 12:00 AM, Valid until:4/1/46, 12:00 AM
keycloak-ciba  | 2025-06-19 17:32:20,960 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withRSA, Serial:8e0ff94b907168653354f4d44439b7e0, Subject:CN=Certainly Root R1, O=Certainly, C=US, Issuer:CN=Certainly Root R1, O=Certainly, C=US, Key type:RSA, Length:4096, Cert Id:-2039008761, Valid from:4/1/21, 12:00 AM, Valid until:4/1/46, 12:00 AM
keycloak-ciba  | 2025-06-19 17:32:20,961 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA1withRSA, Serial:fedce3010fc948ff, Subject:CN=Certigna, O=Dhimyotis, C=FR, Issuer:CN=Certigna, O=Dhimyotis, C=FR, Key type:RSA, Length:2048, Cert Id:-788091456, Valid from:6/29/07, 3:13 PM, Valid until:6/29/27, 3:13 PM
keycloak-ciba  | 2025-06-19 17:32:20,962 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withRSA, Serial:cae91b89f155030da3e6416dc4e3a6e1, Subject:CN=Certigna Root CA, OU=0002 48146308100036, O=Dhimyotis, C=FR, Issuer:CN=Certigna Root CA, OU=0002 48146308100036, O=Dhimyotis, C=FR, Key type:RSA, Length:4096, Cert Id:356684591, Valid from:10/1/13, 8:32 AM, Valid until:10/1/33, 8:32 AM
keycloak-ciba  | 2025-06-19 17:32:20,962 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA384withECDSA, Serial:788f275c81125220a504d02dddba73f4, Subject:CN=Certum EC-384 CA, OU=Certum Certification Authority, O=Asseco Data Systems S.A., C=PL, Issuer:CN=Certum EC-384 CA, OU=Certum Certification Authority, O=Asseco Data Systems S.A., C=PL, Key type:EC, Length:384, Cert Id:994586241, Valid from:3/26/18, 7:24 AM, Valid until:3/26/43, 7:24 AM
keycloak-ciba  | 2025-06-19 17:32:20,963 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA1withRSA, Serial:444c0, Subject:CN=Certum Trusted Network CA, OU=Certum Certification Authority, O=Unizeto Technologies S.A., C=PL, Issuer:CN=Certum Trusted Network CA, OU=Certum Certification Authority, O=Unizeto Technologies S.A., C=PL, Key type:RSA, Length:2048, Cert Id:2014002193, Valid from:10/22/08, 12:07 PM, Valid until:12/31/29, 12:07 PM
keycloak-ciba  | 2025-06-19 17:32:20,964 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA512withRSA, Serial:21d6d04a4f250fc93237fcaa5e128de9, Subject:CN=Certum Trusted Network CA 2, OU=Certum Certification Authority, O=Unizeto Technologies S.A., C=PL, Issuer:CN=Certum Trusted Network CA 2, OU=Certum Certification Authority, O=Unizeto Technologies S.A., C=PL, Key type:RSA, Length:4096, Cert Id:1983350452, Valid from:10/6/11, 8:39 AM, Valid until:10/6/46, 8:39 AM
keycloak-ciba  | 2025-06-19 17:32:20,964 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA512withRSA, Serial:1ebf5950b8c980374c06f7eb554fb5ed, Subject:CN=Certum Trusted Root CA, OU=Certum Certification Authority, O=Asseco Data Systems S.A., C=PL, Issuer:CN=Certum Trusted Root CA, OU=Certum Certification Authority, O=Asseco Data Systems S.A., C=PL, Key type:RSA, Length:4096, Cert Id:-774327051, Valid from:3/16/18, 12:10 PM, Valid until:3/16/43, 12:10 PM
keycloak-ciba  | 2025-06-19 17:32:20,965 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA1withRSA, Serial:1, Subject:CN=AAA Certificate Services, O=Comodo CA Limited, L=Salford, ST=Greater Manchester, C=GB, Issuer:CN=AAA Certificate Services, O=Comodo CA Limited, L=Salford, ST=Greater Manchester, C=GB, Key type:RSA, Length:2048, Cert Id:-1197580894, Valid from:1/1/04, 12:00 AM, Valid until:12/31/28, 11:59 PM
keycloak-ciba  | 2025-06-19 17:32:20,965 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA384withECDSA, Serial:7cc98f2b84d7dfea0fc9659ad34b4d96, Subject:CN=D-TRUST BR Root CA 1 2020, O=D-Trust GmbH, C=DE, Issuer:CN=D-TRUST BR Root CA 1 2020, O=D-Trust GmbH, C=DE, Key type:EC, Length:384, Cert Id:-83817738, Valid from:2/11/20, 9:45 AM, Valid until:2/11/35, 9:44 AM
keycloak-ciba  | 2025-06-19 17:32:20,965 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA384withECDSA, Serial:5f0241d77a877c4c03a3ac968dfbffd0, Subject:CN=D-TRUST EV Root CA 1 2020, O=D-Trust GmbH, C=DE, Issuer:CN=D-TRUST EV Root CA 1 2020, O=D-Trust GmbH, C=DE, Key type:EC, Length:384, Cert Id:238735896, Valid from:2/11/20, 10:00 AM, Valid until:2/11/35, 9:59 AM
keycloak-ciba  | 2025-06-19 17:32:20,966 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withRSA, Serial:983f3, Subject:CN=D-TRUST Root Class 3 CA 2 2009, O=D-Trust GmbH, C=DE, Issuer:CN=D-TRUST Root Class 3 CA 2 2009, O=D-Trust GmbH, C=DE, Key type:RSA, Length:2048, Cert Id:1430153102, Valid from:11/5/09, 8:35 AM, Valid until:11/5/29, 8:35 AM
keycloak-ciba  | 2025-06-19 17:32:20,966 DEBUG [jdk.event.security] (main) X509Certificate: Alg:SHA256withRSA, Serial:983f4, Subject:CN=D-TRUST Root Class 3 CA 2 EV 2009, O=D-Trust GmbH, C=DE, Issuer:CN=D-TRUST Root Class 3 CA 2 EV 2009, O=D-Trust GmbH, C=DE, Key type:RSA, Length:2048, Cert Id:971313728, Valid from:11/5/09, 8:50 AM, Valid until:11/5/29, 8:50 AM
